state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Car,Medsize
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Agent,Car,Medsize
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Car,Medsize
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Car,Medsize
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Car,Medsize
Arizona,No,Premium,Higher Degree,Unemployed,M,Urban,Single,Corporate Auto,Offer1,Agent,Car,Medsize
Oregon,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Car,Medsize
Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,Offer2,Branch,Car,Medsize
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Car,Small
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize
California,No,Premium,Higher Degree,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize
California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Offer4,Call Center,Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Car,Medsize
Nevada,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer2,Call Center,Car,Medsize
California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer2,Branch,Car,Medsize
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Car,Medsize
Washington,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,Offer4,Call Center,Car,Medsize
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Car,Medsize
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Car,Medsize
California,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate Auto,Offer2,Branch,Car,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Car,Large
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Car,Small
Washington,No,Extended,Higher Degree,Other,F,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Car,Large
Oregon,No,Extended,Higher Degree,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Car,Small
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Car,Small
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer2,Agent,SUV,Medsize
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Offer1,Call Center,Car,Medsize
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Car,Small
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer3,Web,Car,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Car,Medsize
California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Car,Small
Oregon,No,Extended,Higher Degree,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Car,Small
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Car,Small
Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Car,Medsize
Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Call Center,Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate Auto,Offer2,Agent,Car,Medsize
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Car,Small
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Car,Medsize
Washington,No,Basic,College,Employed,M,Suburban,Married,Special Auto,Offer2,Call Center,Car,Large
Oregon,No,Premium,Higher Degree,Other,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Call Center,Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer4,Agent,Car,Medsize
California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Car,Medsize
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Branch,Car,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Small
California,Yes,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Web,SUV,Medsize
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer4,Branch,Car,Medsize
Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Agent,Car,Medsize
California,No,Premium,Bachelor,Other,M,Suburban,Married,Personal Auto,Offer1,Branch,Car,Small
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer3,Call Center,Car,Small
California,No,Basic,College,Employed,M,Urban,Married,Special Auto,Offer2,Branch,Car,Medsize
Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small
Oregon,No,Extended,High School or Below,Other,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize
Oregon,No,Premium,Higher Degree,Other,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Car,Medsize
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Car,Medsize
California,No,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer1,Call Center,Car,Small
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Car,Small
California,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Car,Large
Washington,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Web,Car,Medsize
Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Car,Small
Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Car,Large
California,No,Premium,College,Other,F,Suburban,Married,Personal Auto,Offer3,Web,Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer4,Agent,SUV,Medsize
Oregon,No,Basic,Higher Degree,Employed,M,Rural,Married,Personal Auto,Offer2,Web,Car,Large
Oregon,No,Basic,Higher Degree,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Car,Medsize
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Car,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Car,Small
Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Offer2,Call Center,Car,Medsize
Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Car,Medsize
Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Car,Medsize
California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer2,Branch,Car,Small
California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Offer3,Branch,Car,Large
California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Car,Medsize
California,No,Basic,Higher Degree,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,SUV,Medsize
Nevada,No,Basic,Higher Degree,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Car,Large
